0;noreply@ofd.ru;;N/A;2020-09-05 16:07:00;Кассир;1087.48
1;noreply@ofd.ru;;N/A;2020-09-03 19:02:00;Кассир;1152.30
2;noreply@ofd.ru;;N/A;2020-08-31 20:10:00;Кассир;789.36
3;noreply@ofd.ru;;N/A;2020-08-29 11:32:00;Кассир;2299.93
4;noreply@ofd.ru;;N/A;2020-08-22 13:07:00;Кассир;1561.65
5;noreply@ofd.ru;;N/A;2020-08-10 13:24:00;Кассир;976.95
6;noreply@ofd.ru;;N/A;2020-08-04 15:52:00;Кассир;892.64
7;noreply@ofd.ru;;N/A;2020-08-01 16:41:00;Кассир;885.36
8;noreply@ofd.ru;;N/A;2020-07-29 17:01:00;Кассир;834.53
9;noreply@ofd.ru;;N/A;2020-06-20 15:50:00;Кассир;868.19
10;noreply@ofd.ru;;N/A;2020-09-06 18:40:00;Кассир;1004.50
11;noreply@ofd.ru;Магазин;115487, г. Москва, пр-кт Андропова, д.30;2020-09-12 16:14:00;АУР;1540.08
12;noreply@ofd.ru;;N/A;2020-09-17 16:19:00;Кассир;1184.60
13;noreply@ofd.ru;;N/A;2020-09-19 11:18:00;Кассир;1623.65
14;noreply@ofd.ru;;N/A;2020-09-22 17:17:00;Кассир;2049.63
15;noreply@ofd.ru;Магазин;115573, г. Москва, ул. Мусы Джалиля, д.16;2020-09-25 13:52:00;АУР;2897.39
16;noreply@ofd.ru;;N/A;2020-09-25 13:54:00;Кассир;2897.39
17;noreply@ofd.ru;;N/A;2020-09-28 10:28:00;Кассир;1640.75
18;noreply@ofd.ru;Магазин продуктов для здорового питания;N/A;2020-10-01 17:19:00;АУР;1074.03
19;noreply@ofd.ru;;N/A;2020-10-01 17:18:00;Кассир;1074.03
20;noreply@ofd.ru;Магазин;Г.Москва, 117452, б-р.Чонгарский, д.10, к.1;2020-10-02 13:11:00;Власюк Елена Владимировна;903.28
21;noreply@ofd.ru;Магазин;N/A;2020-10-03 17:12:00;Мартынова Анна Анатольевна;621.45
22;noreply@ofd.ru;;N/A;2020-10-03 17:11:00;Кассир;621.45
23;noreply@ofd.ru;;N/A;2020-10-04 15:37:00;Кассир;330.96
24;noreply@ofd.ru;Магазин;N/A;2020-10-06 20:23:00;Коновалова Вера Владимировна;1335.62
25;noreply@ofd.ru;магазин;77-Г.Москва, 115409, ш. Каширское, д.40, к.2;2020-10-10 18:20:00;Шехматова Лилия Васильевна;540.39
26;noreply@ofd.ru;;N/A;2020-11-22 13:42:00;Кассир;2073.97
27;noreply@ofd.ru;;N/A;2020-12-03 14:35:00;Кассир;1587.26
28;noreply@ofd.ru;Магазин;N/A;2020-12-05 15:46:00;АУР;1752.28
29;noreply@ofd.ru;Магазин;N/A;2020-12-14 20:26:00;Зашихин Александр Николаевич;976.66
30;noreply@ofd.ru;;N/A;2020-12-16 09:21:00;Кассир;1752.28
31;noreply@ofd.ru;Магазин продуктов для здорового питания;N/A;2020-12-18 15:30:00;АУР;1558.48
32;noreply@ofd.ru;;N/A;2020-12-21 11:22:00;Кассир;844.12
33;noreply@ofd.ru;;N/A;2020-12-21 14:22:00;Кассир;1558.48
34;noreply@ofd.ru;;N/A;2020-12-21 15:39:00;Кассир;1146.80
35;noreply@ofd.ru;;N/A;2020-12-24 15:33:00;Кассир;1408.57
36;noreply@ofd.ru;;N/A;2020-12-26 12:42:00;Кассир;2162.00
37;noreply@ofd.ru;;N/A;2020-12-28 16:36:00;Кассир;1459.87
38;noreply@ofd.ru;Магазин продуктов для здорового питания;N/A;2021-01-02 11:59:00;АУР;2978.91
39;noreply@ofd.ru;;N/A;2021-01-02 12:05:00;Кассир;2978.91
40;noreply@ofd.ru;Магазин продуктов для здорового питания;N/A;2021-01-10 17:12:00;АУР;2351.57
41;noreply@ofd.ru;;N/A;2021-01-11 09:58:00;Кассир;2351.57
